,title,series,on_sale_date,creators,creators_editor,creators_writer,description,characters,format,n_of_pages,price
0,Marvel Mutts Infinity Comic (2023) #5,Marvel Mutts Infinity Comic (2023 - Present),2023-12-29,"Raul Angulo, Mackenzie Cadenhead, Takeshi Miyazawa, Mark Paniccia, Vc Joe Sabino",Mark Paniccia,['Mackenzie Cadenhead'],,"Lockjaw, Ms. America (America Chavez), Ms. Marvel (Kamala Khan), Spider-Man (Miles Morales)",Digital Vertical Comic,3,0.0
1,Alligator Loki Infinity Comic (2022) #29,Alligator Loki Infinity Comic (2022 - 2023),2023-12-29,"Michelle Marchese, Pete Pantazis, Robert Quinn, Alyssa Wong",Michelle Marchese,['Alyssa Wong'],,"Doctor Strange, Loki",Digital Vertical Comic,3,0.0
2,Avengers United Infinity Comic (2023) #12,Avengers United Infinity Comic (2023 - Present),2023-12-28,"Erick Arciniega, Tom Brevoort, Derek Landy, Jason Muhr, Vc Joe Sabino",Tom Brevoort,['Derek Landy'],,"Avengers, Black Panther, Captain Marvel (Carol Danvers), Iron Man, Scarlet Witch, Thor, Vision",Digital Vertical Comic,6,0.0
3,Star Wars: The Mandalorian Season 2 (2023) #7 (Variant),Star Wars: The Mandalorian Season 2 (2023 - 2024),2023-12-27,"Rodney Barnes, Vc Joe Caramagna, Georges Jeanty, Kael Ngu, Mark Paniccia, Rachelle Rosenberg, Karl Story, Dexter Vines",Mark Paniccia,['Rodney Barnes'],"THE BELIEVER!  To move against THE EMPIRE, THE MANDALORIAN needs the help of an old enemy.  The stage is set with BOBA FETT and FENNEC SHAND as MIGS MAYFELD returns!",,Comic,40,4.99
4,Marvel Super Heroes Secret Wars: Battleworld (2023) #2 (Variant),Marvel Super Heroes Secret Wars: Battleworld (2023 - Present),2023-12-27,"Mark Basso, Vc Joe Caramagna, John Tyler Christopher, Tom Defalco, Pat Olliffe",Mark Basso,['Tom Defalco'],"BRING ON THE BAD GUYS! SPIDER-MAN, freshly attired in his new ALIEN COSTUME, is pulled from the SECRET WARS to face a NEW challenge - the might of the HOBGOBLIN, BARON ZEMO, ELECTRO, CONSTRICTOR and more! Not a hoax! Not an imaginary story! But how did THIS set of villains find their way into the BATTLEWORLD of SECRET WARS?! Only this issue holds the answer to this forty-year mystery! Do not miss Tom DeFalco and Pat Olliffe's ALL-NEW in-continuity tale featuring SPIDER-MAN, HUMAN TORCH and a slew of surprises!",,Comic,32,3.99
5,Captain Marvel (2023) #3 (Variant),Captain Marvel (2023 - Present),2023-12-27,"Jan Bazaldua, Ruairi Coleman, Vc Ariana Maher, PEACH MOMOKO, Emily Newcomen, Bryan Valenza, Alyssa Wong",Emily Newcomen,['Alyssa Wong'],"STEALING FROM THE STRANGES! Captain Marvel's taken up a new profession: thievery! Not that she had much choice in the matter, with Yuna Yang shuttling her to the Negative Zone every time Carol's do-gooder attitude gets in the way. The Captain's gotta get these Nega-Bands off so she can reclaim her life, and who better to ask advice from than the Sorcerer Supreme, Clea Strange? But when Yuna's hands get sticky again, Carol finds herself in the sorcerer's crosshairs…",,Comic,32,3.99
6,Predator Vs. Wolverine (2023) #4 (Variant),Predator Vs. Wolverine (2023 - Present),2023-12-27,"Sarah Brunstad, Juan Fernandez, Ken Lashley, Benjamin Percy, Vc Cory Petit, Bill Sienkiewicz",Sarah Brunstad,['Benjamin Percy'],THE BEST THERE IS AT WHAT THEY DO! Who will take the final trophy? Will Wolverine's adamantium skull join the bones of countless others? The Predator's long hunt catches up to the present day as Wolverine sets his trap. But what hope does he have against an enemy who's slaughtered prey across the universe?,,Comic,32,5.99
7,MARVEL MASTERWORKS: MARVEL TEAM-UP VOL. 7 HC (Hardcover),MARVEL MASTERWORKS: MARVEL TEAM-UP VOL. 7 HC (2022),2023-12-27,"John Byrne, Howard Chaykin, Kerry Gammill, Bob Hall, Chris Claremont, Barry Dutter, Gary Friedrich, Scott Lobdell, Ralph Macchio, John Costanza, Michael Higgins, Tony Dezuniga, Vincent Evans, Al Gordon, Dan Green, Dave Hunt, Carl Gafford, Ariane Lenshoek, Logan Kelleher, Michael Kelleher",Not given,"['Chris Claremont', 'Barry Dutter', 'Gary Friedrich', 'Scott Lobdell', 'Ralph Macchio']","Collects Marvel Team-Up (1972) #65-77; material from Marvel Tales (1966) #255, 262-263; Marvel Treasury Edition (1974) #18.  It's prime time in the Marvel Universe with Chris Claremont, John Byrne and the amazing Spider-Man! That's right, before they created the definitive X-Men, Claremont and Byrne were spinning tales with the web-slinger. And the historic Spidey exploits they have in store include Captain Britain's introduction to the Marvel U. proper, the first appearance of Arcade, adventures alongside the scintillating Tigra and the malodorous Man-Thing, a two-part tale that revives the Living Monolith and co-stars X-Men Havok and Polaris, and an encounter with Luke Cage and New York's Bravest! Also featured are a mystic turn with Doctor Strange and Clea that features the return of the Silver Dagger; adventures with Cap, Iron Man and Daredevil - and a bevy of bonus material including cover art from MARVEL TALES!",,Hardcover,304,75.0
8,Star Wars: Dark Droids (2023) #5 (Variant),Star Wars: Dark Droids (2023 - Present),2023-12-27,"Juan Fernandez, Vc Travis Lanham, Ken Lashley, Mark Paniccia, Luke Ross, Alex Sinclair, Charles Soule",Mark Paniccia,['Charles Soule'],THE TERRIFYING CONCLUSION OF THE BIGGEST STAR WARS COMIC EVENT OF THE YEAR! The final triumph of THE SCOURGE! How can THE REBELLION & THE EMPIRE combat such a threat? UNLIKELY ALLIES join forces to fight the greater evil invading the galaxy! And what is the final fate of warrior droid Ajax Sigma?,,Comic,32,4.99
9,Star Wars: The Mandalorian Season 2 (2023) #7 (Variant),Star Wars: The Mandalorian Season 2 (2023 - 2024),2023-12-27,"Rodney Barnes, Vc Joe Caramagna, Stephanie Hans, Georges Jeanty, Mark Paniccia, Rachelle Rosenberg, Karl Story, Dexter Vines",Mark Paniccia,['Rodney Barnes'],"THE BELIEVER!  To move against THE EMPIRE, THE MANDALORIAN needs the help of an old enemy.  The stage is set with BOBA FETT and FENNEC SHAND as MIGS MAYFELD returns!",,Comic,40,4.99
